"Strain","Uptake_Reactions","Secretion_Reactions","Total_Exchanged"
"Dorea_longicatena_ERR1022324",43,11,54
"Dorea_longicatena_ERR1022383",51,10,61
"Dorea_longicatena_ERR1022428",42,11,53
"Dorea_longicatena_ERR1022475",45,12,57
"Dorea_longicatena_ERR1203969",45,12,57
"Dorea_longicatena_ERR1204063",43,11,54
"Dorea_longicatena_ERR2221186",41,10,51
"Dorea_longicatena_ERR2221271",45,14,59
"Dorea_longicatena_ERR2230069",44,12,56
"Eggerthella_lenta_1160AFAA",47,9,56
"Eggerthella_lenta_11C",48,10,58
"Eggerthella_lenta_1356FAA",46,8,54
"Eggerthella_lenta_14A",47,9,56
"Eggerthella_lenta_16A",47,9,56
"Eggerthella_lenta_19C",47,9,56
"Eggerthella_lenta_22C",47,9,56
"Eggerthella_lenta_28B",48,9,57
"Eggerthella_lenta_326I6NA",49,11,60
"Eggerthella_lenta_A2",47,10,57
"Eggerthella_lenta_AB12n2",48,11,59
"Eggerthella_lenta_AB8n2",48,11,59
"Eggerthella_lenta_AN51LG",47,8,55
"Eggerthella_lenta_C592",47,9,56
"Eggerthella_lenta_CC75D52",47,9,56
"Eggerthella_lenta_CC82BHI2",47,9,56
"Eggerthella_lenta_CC86D54",47,10,57
"Eggerthella_lenta_DSM_11767",49,11,60
"Eggerthella_lenta_DSM_11863",48,12,60
"Eggerthella_lenta_DSM_15644",48,9,57
"Eggerthella_lenta_DSM_2243",53,6,59
"Eggerthella_lenta_HGA1",46,12,58
"Eggerthella_lenta_MR1n12",48,9,57
"Eggerthella_lenta_RC46F",46,9,55
"Eggerthella_lenta_Valencia",47,9,56
"Eggerthella_lenta_W1BHI6",46,9,55
"Eggerthella_sinensis_DSM_16107",47,13,60
"Eisenbergiella_tayi_ERR1022439",49,10,59
"Enorma_massiliensis_ERR1022365",47,12,59
"Enorma_massiliensis_phI",48,10,58
"Enterobacter_aerogenes_EA1509E",44,14,58
"Enterobacter_aerogenes_ERR2221162",50,10,60
"Enterobacter_aerogenes_FGI35",47,20,67
"Enterobacter_aerogenes_KCTC_2190",44,16,60
"Enterobacter_cloacae_ERR2221114",49,14,63
"Enterobacter_cloacae_ERR2221117",53,13,66
"Enterobacter_cloacae_ERR2221156",50,14,64
"Enterobacter_cloacae_ERR2221157",51,16,67
"Enterobacter_cloacae_ERR2221194",51,13,64
"Enterobacter_cloacae_EcWSU1",51,22,73
"Enterobacter_cloacae_GGT036",47,14,61
"Enterobacter_cloacae_subsp_cloacae_08XA1",48,20,68
"Enterobacter_cloacae_subsp_cloacae_ATCC_13047",49,20,69
"Enterobacter_cloacae_subsp_cloacae_ENHKU01",48,20,68
"Enterobacter_cloacae_subsp_cloacae_GS1",58,28,86
"Enterobacter_cloacae_subsp_dissolvens_SDM",47,19,66
"Enterobacter_hormaechei_ATCC_49162",47,16,63
"Enterobacter_hormaechei_FDAARGOS_68",50,11,61
"Enterobacter_hormaechei_YT2",57,19,76
"Enterobacter_hormaechei_YT3",48,18,66
"Enterococcus_faecalis_12030",51,24,75
"Enterococcus_faecalis_12107",54,23,77
"Enterococcus_faecalis_1448E03",55,21,76
"Enterococcus_faecalis_182970",54,21,75
"Enterococcus_faecalis_19116",54,21,75
"Enterococcus_faecalis_2630V05",54,21,75
"Enterococcus_faecalis_2924",54,21,75
"Enterococcus_faecalis_5952",54,23,77
"Enterococcus_faecalis_599",47,12,59
"Enterococcus_faecalis_599951",53,24,77
"Enterococcus_faecalis_62",55,23,78
"Enterococcus_faecalis_7330082_2",54,23,77
"Enterococcus_faecalis_7330112_3",54,21,75
"Enterococcus_faecalis_7330245_2",52,18,70
"Enterococcus_faecalis_7330257_1",52,20,72
"Enterococcus_faecalis_7330259_5",54,21,75
"Enterococcus_faecalis_7330948_5",53,20,73
"Enterococcus_faecalis_7430275_3",53,22,75
"Enterococcus_faecalis_7430315_3",51,18,69
"Enterococcus_faecalis_7430416_3",53,20,73
"Enterococcus_faecalis_7430821_4",52,22,74
"Enterococcus_faecalis_79_3",52,24,76
"Enterococcus_faecalis_AR01_DG",54,22,76
"Enterococcus_faecalis_ATCC_10100",47,14,61
"Enterococcus_faecalis_ATCC_19433",49,19,68
"Enterococcus_faecalis_ATCC_27275",50,15,65
"Enterococcus_faecalis_ATCC_27959",48,12,60
"Enterococcus_faecalis_ATCC_29200",47,11,58
"Enterococcus_faecalis_ATCC_29212",46,12,58
"Enterococcus_faecalis_ATCC_35038",48,14,62
"Enterococcus_faecalis_ATCC_4200",49,13,62
"Enterococcus_faecalis_ATCC_6055",47,14,61
"Enterococcus_faecalis_A_2_1",53,23,76
"Enterococcus_faecalis_A_3_1",54,23,77
"Enterococcus_faecalis_B1005",53,23,76
"Enterococcus_faecalis_B1138",54,24,78
"Enterococcus_faecalis_B1249",54,23,77
"Enterococcus_faecalis_B1290",53,23,76
"Enterococcus_faecalis_B1327",53,23,76
"Enterococcus_faecalis_B1376",54,24,78
"Enterococcus_faecalis_B1385",53,23,76
"Enterococcus_faecalis_B1441",54,23,77
"Enterococcus_faecalis_B1505",54,24,78
"Enterococcus_faecalis_B1532",54,24,78
"Enterococcus_faecalis_B15725",54,24,78
"Enterococcus_faecalis_B1586",54,24,78
"Enterococcus_faecalis_B1618",54,24,78
"Enterococcus_faecalis_B1623",53,23,76
"Enterococcus_faecalis_B16457",54,21,75
"Enterococcus_faecalis_B1678",52,18,70
"Enterococcus_faecalis_B1696",53,24,77
"Enterococcus_faecalis_B1719",53,23,76
"Enterococcus_faecalis_B1734",53,23,76
"Enterococcus_faecalis_B1843",53,23,76
"Enterococcus_faecalis_B1851",53,23,76
"Enterococcus_faecalis_B1874",54,23,77
"Enterococcus_faecalis_B1921",54,23,77
"Enterococcus_faecalis_B1933",54,24,78
"Enterococcus_faecalis_B2202",53,23,76
"Enterococcus_faecalis_B2207",55,23,78
"Enterococcus_faecalis_B2211",53,23,76
"Enterococcus_faecalis_B2255",54,23,77
"Enterococcus_faecalis_B2277",53,23,76
"Enterococcus_faecalis_B2391",53,23,76
"Enterococcus_faecalis_B2488",54,24,78
"Enterococcus_faecalis_B2535",53,23,76
"Enterococcus_faecalis_B2557",53,23,76
"Enterococcus_faecalis_B2593",54,24,78
"Enterococcus_faecalis_B2670",54,23,77
"Enterococcus_faecalis_B2685",54,24,78
"Enterococcus_faecalis_B2687",54,23,77
"Enterococcus_faecalis_B2802",54,24,78
"Enterococcus_faecalis_B2864",53,23,76
"Enterococcus_faecalis_B2867",54,24,78
"Enterococcus_faecalis_B2949",55,24,79
"Enterococcus_faecalis_B3031",53,23,76
"Enterococcus_faecalis_B3042",54,23,77
"Enterococcus_faecalis_B3053",54,24,78
"Enterococcus_faecalis_B3119",54,24,78
"Enterococcus_faecalis_B3126",54,24,78
"Enterococcus_faecalis_B3196",54,24,78
"Enterococcus_faecalis_B3286",53,23,76
"Enterococcus_faecalis_B3336",54,24,78
"Enterococcus_faecalis_B4008",54,23,77
"Enterococcus_faecalis_B4018",53,24,77
"Enterococcus_faecalis_B4148",53,23,76
"Enterococcus_faecalis_B4163",53,23,76
"Enterococcus_faecalis_B4259",53,23,76
"Enterococcus_faecalis_B4267",54,24,78
"Enterococcus_faecalis_B4270",53,23,76
"Enterococcus_faecalis_B4411",54,24,78
"Enterococcus_faecalis_B4568",54,24,78
"Enterococcus_faecalis_B4638",53,23,76
"Enterococcus_faecalis_B4672",54,24,78
"Enterococcus_faecalis_B4674",53,23,76
"Enterococcus_faecalis_B4969",53,23,76
"Enterococcus_faecalis_B5035",53,23,76
"Enterococcus_faecalis_B5076",54,23,77
"Enterococcus_faecalis_B56765",56,23,79
"Enterococcus_faecalis_B594",54,24,78
"Enterococcus_faecalis_B653",53,21,74
"Enterococcus_faecalis_B69486",54,23,77
"Enterococcus_faecalis_B84847",52,21,73
"Enterococcus_faecalis_B878",54,24,78
"Enterococcus_faecalis_B939",54,24,78
"Enterococcus_faecalis_B_4_111",52,20,72
"Enterococcus_faecalis_C19315WT",55,23,78
"Enterococcus_faecalis_CH116",55,23,78
"Enterococcus_faecalis_CH136",55,23,78
"Enterococcus_faecalis_CH188",48,12,60
"Enterococcus_faecalis_CH19",55,23,78
"Enterococcus_faecalis_CH570",53,23,76
"Enterococcus_faecalis_Com1",52,20,72
"Enterococcus_faecalis_Com7",52,24,76
"Enterococcus_faecalis_Com_2",55,21,76
"Enterococcus_faecalis_Com_6",52,21,73
"Enterococcus_faecalis_D1",53,25,78
"Enterococcus_faecalis_D173",54,21,75
"Enterococcus_faecalis_D3",52,19,71
"Enterococcus_faecalis_D32",45,14,59
"Enterococcus_faecalis_D6",49,15,64
"Enterococcus_faecalis_DAPTO_512",49,15,64
"Enterococcus_faecalis_DAPTO_516",55,23,78
"Enterococcus_faecalis_DS16",54,24,78
"Enterococcus_faecalis_DS5",52,22,74
"Enterococcus_faecalis_E1",55,23,78
"Enterococcus_faecalis_E1Sol",53,21,74
"Enterococcus_faecalis_E99",52,20,72
"Enterococcus_faecalis_ERR1203921",48,15,63
"Enterococcus_faecalis_ERR1203927",49,17,66
"Enterococcus_faecalis_ERR1203928",50,17,67
"Enterococcus_faecalis_ERR1203931",50,17,67
"Enterococcus_faecalis_ERR1204022",49,17,66
"Enterococcus_faecalis_ERR1204025",51,16,67
"Enterococcus_faecalis_ERR2221203",48,14,62
"Enterococcus_faecalis_ERR2221223",49,14,63
"Enterococcus_faecalis_ERR2221228",48,15,63
"Enterococcus_faecalis_ERR2221234",50,18,68
"Enterococcus_faecalis_ERR2221236",49,16,65
"Enterococcus_faecalis_ERR2221251",49,13,62
"Enterococcus_faecalis_ERR2221313",49,17,66
"Enterococcus_faecalis_ERR2221314",50,17,67
"Enterococcus_faecalis_ERR2221315",49,18,67
"Enterococcus_faecalis_ERR2221341",49,16,65
"Enterococcus_faecalis_ERR2221346",50,17,67
"Enterococcus_faecalis_ERR2230084",48,16,64
"Enterococcus_faecalis_ERR2230105",50,17,67
"Enterococcus_faecalis_ERR2230117",48,16,64
"Enterococcus_faecalis_ERR2230123",48,16,64
"Enterococcus_faecalis_ERR2230129",50,17,67
"Enterococcus_faecalis_ERV103",53,21,74
"Enterococcus_faecalis_ERV116",53,21,74
"Enterococcus_faecalis_ERV129",52,21,73
"Enterococcus_faecalis_ERV25",52,21,73
"Enterococcus_faecalis_ERV31",53,21,74
"Enterococcus_faecalis_ERV37",53,19,72
"Enterococcus_faecalis_ERV41",52,21,73
"Enterococcus_faecalis_ERV62",54,21,75
"Enterococcus_faecalis_ERV63",52,22,74
"Enterococcus_faecalis_ERV65",52,21,73
"Enterococcus_faecalis_ERV68",52,22,74
"Enterococcus_faecalis_ERV72",54,21,75
"Enterococcus_faecalis_ERV81",52,21,73
"Enterococcus_faecalis_ERV85",53,21,74
"Enterococcus_faecalis_ERV93",52,22,74
"Enterococcus_faecalis_EnGen0253",53,23,76
"Enterococcus_faecalis_F1",53,24,77
"Enterococcus_faecalis_FA2_2",53,24,77
"Enterococcus_faecalis_Fly1",53,22,75
"Enterococcus_faecalis_Fly_2",52,20,72
"Enterococcus_faecalis_HEF39",53,21,74
"Enterococcus_faecalis_HH22",55,21,76
"Enterococcus_faecalis_HIP11704",53,21,74
"Enterococcus_faecalis_JH1",52,21,73
"Enterococcus_faecalis_KB1",50,14,64
"Enterococcus_faecalis_M7",53,23,76
"Enterococcus_faecalis_MMH594",52,23,75
"Enterococcus_faecalis_Merz151",55,24,79
"Enterococcus_faecalis_Merz192",54,23,77
"Enterococcus_faecalis_Merz204",54,23,77
"Enterococcus_faecalis_Merz89",54,24,78
"Enterococcus_faecalis_Merz96",55,23,78
"Enterococcus_faecalis_Ned10",54,23,77
"Enterococcus_faecalis_OG1RF_ATCC_47077",46,16,62
"Enterococcus_faecalis_OG1X",54,23,77
"Enterococcus_faecalis_PC1_1",53,22,75
"Enterococcus_faecalis_Pan7",52,20,72
"Enterococcus_faecalis_R508",52,22,74
"Enterococcus_faecalis_R712",56,22,78
"Enterococcus_faecalis_RC73",53,24,77
"Enterococcus_faecalis_RM3817",56,24,80
"Enterococcus_faecalis_RM4679",54,24,78
"Enterococcus_faecalis_RMC1",55,23,78
"Enterococcus_faecalis_RMC5",52,21,73
"Enterococcus_faecalis_RMC65",53,23,76
"Enterococcus_faecalis_S613",55,22,77
"Enterococcus_faecalis_SF100",53,24,77
"Enterococcus_faecalis_SF105",55,23,78
"Enterococcus_faecalis_SF1592",54,24,78
"Enterococcus_faecalis_SF19",53,24,77
"Enterococcus_faecalis_SF21520",53,23,76
"Enterococcus_faecalis_SF21521",53,23,76
"Enterococcus_faecalis_SF24396",53,20,73
"Enterococcus_faecalis_SF24397",51,21,72
"Enterococcus_faecalis_SF24413",52,24,76
"Enterococcus_faecalis_SF26630",53,23,76
"Enterococcus_faecalis_SF28073",54,23,77
"Enterococcus_faecalis_SF339",55,24,79
"Enterococcus_faecalis_SF350",53,24,77
"Enterococcus_faecalis_SF370",54,23,77
"Enterococcus_faecalis_SF5039",54,24,78
"Enterococcus_faecalis_SF6375",55,24,79
"Enterococcus_faecalis_SS_6",55,23,78
"Enterococcus_faecalis_SS_7",53,24,77
"Enterococcus_faecalis_T1",52,21,73
"Enterococcus_faecalis_T10",52,21,73
"Enterococcus_faecalis_T11",52,21,73
"Enterococcus_faecalis_T12",54,21,75
"Enterococcus_faecalis_T13",53,23,76
"Enterococcus_faecalis_T14",55,24,79
"Enterococcus_faecalis_T16",56,23,79
"Enterococcus_faecalis_T17",54,23,77
"Enterococcus_faecalis_T18",52,20,72
"Enterococcus_faecalis_T19",53,20,73
"Enterococcus_faecalis_T2",52,21,73
"Enterococcus_faecalis_T20",56,23,79
"Enterococcus_faecalis_T21",54,23,77
"Enterococcus_faecalis_T3",53,25,78
"Enterococcus_faecalis_T4",53,23,76
"Enterococcus_faecalis_T5",53,20,73
"Enterococcus_faecalis_T6",54,21,75
"Enterococcus_faecalis_T7",55,21,76
"Enterococcus_faecalis_T8",53,21,74
"Enterococcus_faecalis_T9",56,24,80
"Enterococcus_faecalis_TR161",54,24,78
"Enterococcus_faecalis_TR197",52,22,74
"Enterococcus_faecalis_TUSoD_Ef11",52,20,72
"Enterococcus_faecalis_TX0012",49,21,70
"Enterococcus_faecalis_TX0017",52,21,73
"Enterococcus_faecalis_TX0027",52,21,73
"Enterococcus_faecalis_TX0031",53,21,74
"Enterococcus_faecalis_TX0043",53,22,75
"Enterococcus_faecalis_TX0102",54,22,76
"Enterococcus_faecalis_TX0104",39,11,50
"Enterococcus_faecalis_TX0109",53,21,74
"Enterococcus_faecalis_TX0309A",51,22,73
"Enterococcus_faecalis_TX0309B",52,21,73
"Enterococcus_faecalis_TX0312",53,20,73
"Enterococcus_faecalis_TX0411",52,21,73
"Enterococcus_faecalis_TX0470",52,23,75
"Enterococcus_faecalis_TX0630",52,21,73
"Enterococcus_faecalis_TX0635_WH245",56,23,79
"Enterococcus_faecalis_TX0645",52,21,73
"Enterococcus_faecalis_TX0855",52,21,73
"Enterococcus_faecalis_TX0860",52,21,73
"Enterococcus_faecalis_TX1302",56,21,77
"Enterococcus_faecalis_TX1322",41,14,55
"Enterococcus_faecalis_TX1337RF",56,18,74
"Enterococcus_faecalis_TX1341",52,21,73
"Enterococcus_faecalis_TX1342",54,22,76
"Enterococcus_faecalis_TX1346",53,19,72
"Enterococcus_faecalis_TX2134",42,13,55
"Enterococcus_faecalis_TX2137",52,19,71
"Enterococcus_faecalis_TX2141",52,21,73
"Enterococcus_faecalis_TX4000",52,21,73
"Enterococcus_faecalis_TX4244",52,21,73
"Enterococcus_faecalis_TX4248",52,21,73
"Enterococcus_faecalis_UAA1014",51,19,70
"Enterococcus_faecalis_UAA1180",50,20,70
"Enterococcus_faecalis_UAA1489",53,23,76
"Enterococcus_faecalis_UAA409",54,24,78
"Enterococcus_faecalis_UAA702",55,21,76
"Enterococcus_faecalis_UAA769",54,23,77
"Enterococcus_faecalis_UAA823",53,23,76
"Enterococcus_faecalis_UAA902",53,23,76
"Enterococcus_faecalis_UAA903",53,22,75
"Enterococcus_faecalis_UAA904",53,22,75
"Enterococcus_faecalis_UAA905",53,21,74
"Enterococcus_faecalis_UAA906",53,22,75
"Enterococcus_faecalis_UAA907",54,22,76
"Enterococcus_faecalis_UAA943",53,23,76
"Enterococcus_faecalis_UAA948",53,23,76
"Enterococcus_faecalis_V583",49,14,63
"Enterococcus_faecalis_V587",53,23,76
"Enterococcus_faecalis_WH257",53,23,76
"Enterococcus_faecalis_WH571",55,23,78
"Enterococcus_faecalis_X98",52,22,74
"Enterococcus_faecalis_YI6_1",56,24,80
"Enterococcus_faecalis_str_C_19315_led_1b_pp_SCV",55,23,78
"Enterococcus_faecalis_str_Symbioflor_1",52,22,74
"Enterococcus_faecium_109_A1",53,17,70
"Enterococcus_faecium_1141733",53,18,71
"Enterococcus_faecium_1230933",52,18,70
"Enterococcus_faecium_1231408",54,19,73
"Enterococcus_faecium_1231410",53,16,69
"Enterococcus_faecium_1231501",54,17,71
"Enterococcus_faecium_1231502",50,17,67
"Enterococcus_faecium_2006_70_121",55,20,75
"Enterococcus_faecium_504",53,17,70
"Enterococcus_faecium_505",51,18,69
"Enterococcus_faecium_7330381_1",53,17,70
"Enterococcus_faecium_7330446_2",54,19,73
"Enterococcus_faecium_7330519_3",52,18,70
"Enterococcus_faecium_7330614_1",54,17,71
"Enterococcus_faecium_7330884_2",55,18,73
"Enterococcus_faecium_7430166_3",52,17,69
"Enterococcus_faecium_841V03",55,17,72
"Enterococcus_faecium_9730219_1",54,18,72
"Enterococcus_faecium_9730357_1",54,17,71
"Enterococcus_faecium_9731349_1",51,17,68
"Enterococcus_faecium_9731352_4",54,20,74
"Enterococcus_faecium_9830091_5",53,17,70
"Enterococcus_faecium_9830512_2",52,17,69
"Enterococcus_faecium_9830565_4",54,17,71
"Enterococcus_faecium_9930238_2",53,17,70
"Enterococcus_faecium_9931110_4",55,17,72
"Enterococcus_faecium_A17_Sv1",55,17,72
"Enterococcus_faecium_ATCC_8459",53,15,68
"Enterococcus_faecium_Aus0004",53,17,70
"Enterococcus_faecium_C309",54,17,71
"Enterococcus_faecium_C68",53,17,70
"Enterococcus_faecium_CRL1879",53,19,72
"Enterococcus_faecium_Com12",54,16,70
"Enterococcus_faecium_Com15",51,19,70
"Enterococcus_faecium_D344SRF",53,18,71
"Enterococcus_faecium_DO",53,23,76
"Enterococcus_faecium_E0045",52,17,69
"Enterococcus_faecium_E0120",53,17,70
"Enterococcus_faecium_E0164",55,18,73
"Enterococcus_faecium_E0269",53,17,70
"Enterococcus_faecium_E0333",55,18,73
"Enterococcus_faecium_E0679",54,17,71
"Enterococcus_faecium_E0680",53,17,70
"Enterococcus_faecium_E0688",53,17,70
"Enterococcus_faecium_E1007",52,19,71
"Enterococcus_faecium_E1039",50,18,68
"Enterococcus_faecium_E1050",57,18,75
"Enterococcus_faecium_E1071",51,18,69
"Enterococcus_faecium_E1133",55,16,71
"Enterococcus_faecium_E1162",53,17,70
"Enterococcus_faecium_E1185",53,17,70
"Enterococcus_faecium_E1258",56,18,74
"Enterococcus_faecium_E1293",56,18,74
"Enterococcus_faecium_E1321",53,17,70
"Enterococcus_faecium_E1392",56,17,73
"Enterococcus_faecium_E1552",53,18,71
"Enterococcus_faecium_E1573",54,16,70
"Enterococcus_faecium_E1574",55,17,72
"Enterococcus_faecium_E1575",56,17,73
"Enterococcus_faecium_E1576",54,18,72
"Enterococcus_faecium_E1578",56,17,73
"Enterococcus_faecium_E1590",57,18,75
"Enterococcus_faecium_E1604",55,18,73
"Enterococcus_faecium_E1613",53,16,69
"Enterococcus_faecium_E1620",53,17,70
"Enterococcus_faecium_E1622",53,21,74
"Enterococcus_faecium_E1623",56,16,72
"Enterococcus_faecium_E1626",55,18,73
"Enterococcus_faecium_E1627",54,18,72
"Enterococcus_faecium_E1630",52,17,69
"Enterococcus_faecium_E1634",55,18,73
"Enterococcus_faecium_E1636",53,19,72
"Enterococcus_faecium_E1644",56,17,73
"Enterococcus_faecium_E1731",54,17,71
"Enterococcus_faecium_E1861",52,17,69
"Enterococcus_faecium_E1904",56,18,74
"Enterococcus_faecium_E1972",55,18,73
"Enterococcus_faecium_E2039",55,18,73
"Enterococcus_faecium_E2071",55,18,73
"Enterococcus_faecium_E2134",53,18,71
"Enterococcus_faecium_E2297",56,18,74
"Enterococcus_faecium_E2369",56,17,73
"Enterococcus_faecium_E2560",53,18,71
"Enterococcus_faecium_E2620",51,11,62
"Enterococcus_faecium_E2883",55,17,72
"Enterococcus_faecium_E2966",55,17,72
"Enterococcus_faecium_E3083",54,16,70
"Enterococcus_faecium_E3346",54,17,71
"Enterococcus_faecium_E3548",54,18,72
"Enterococcus_faecium_E4215",55,17,72
"Enterococcus_faecium_E4389",54,18,72
"Enterococcus_faecium_E6012",53,25,78
"Enterococcus_faecium_E6045",54,25,79
"Enterococcus_faecium_E8sv3",56,17,73
"Enterococcus_faecium_E980",53,17,70
"Enterococcus_faecium_ERR2221216",48,11,59
"Enterococcus_faecium_ERR2221309",48,11,59
"Enterococcus_faecium_ERR2221310",47,11,58
"Enterococcus_faecium_ERR2221317",48,11,59
"Enterococcus_faecium_ERR2221332",49,11,60
"Enterococcus_faecium_ERV1",55,17,72
"Enterococcus_faecium_EnGen0305",51,17,68
"Enterococcus_faecium_EnGen0308",52,17,69
"Enterococcus_faecium_EnGen0312",52,18,70
"Enterococcus_faecium_EnGen0314",56,19,75
"Enterococcus_faecium_EnGen0316",53,18,71
"Enterococcus_faecium_EnGen0318",53,18,71
"Enterococcus_faecium_EnGen0319",53,18,71
"Enterococcus_faecium_EnGen0321",51,17,68
"Enterococcus_faecium_EnGen0323",52,18,70
"Enterococcus_faecium_EnGen0375",52,18,70
"Enterococcus_faecium_EnGen0376",52,18,70
"Enterococcus_faecium_EnGen0377",54,16,70
"Enterococcus_faecium_F9730129_1",54,17,71
"Enterococcus_faecium_H17243",55,16,71
"Enterococcus_faecium_H17575",54,17,71
"Enterococcus_faecium_HF50104",55,18,73
"Enterococcus_faecium_HF50105",54,20,74
"Enterococcus_faecium_HF50106",53,18,71
"Enterococcus_faecium_HF50203",55,18,73
"Enterococcus_faecium_HF50204",52,17,69
"Enterococcus_faecium_HF50215",54,18,72
"Enterococcus_faecium_HM1071",55,18,73
"Enterococcus_faecium_HM1072",54,17,71
"Enterococcus_faecium_HM1073",54,17,71
"Enterococcus_faecium_HM1074",56,18,74
"Enterococcus_faecium_LCT_EF128",50,17,67
"Enterococcus_faecium_LCT_EF20",50,17,67
"Enterococcus_faecium_LCT_EF258",49,18,67
"Enterococcus_faecium_LCT_EF90",51,18,69
"Enterococcus_faecium_PC4_1",51,15,66
"Enterococcus_faecium_S658_3",53,18,71
"Enterococcus_faecium_TC_6",53,16,69
"Enterococcus_faecium_TX0082",53,16,69
"Enterococcus_faecium_TX0133A",53,17,70
"Enterococcus_faecium_TX0133B",53,18,71
"Enterococcus_faecium_TX0133C",53,18,71
"Enterococcus_faecium_TX0133a04",53,17,70
"Enterococcus_faecium_TX1330",47,14,61
"Enterococcus_faecium_U0317",56,18,74
"Enterococcus_faecium_UAA1007",54,17,71
"Enterococcus_faecium_UAA1019",56,18,74
"Enterococcus_faecium_UAA1022",56,17,73
"Enterococcus_faecium_UAA1023",55,19,74
"Enterococcus_faecium_UAA1024",55,19,74
"Enterococcus_faecium_UAA1025",54,17,71
"Enterococcus_faecium_UAA1280",56,17,73
"Enterococcus_faecium_UAA1433",56,18,74
"Enterococcus_faecium_UAA1484",53,18,71
"Enterococcus_faecium_UAA210",55,18,73
"Enterococcus_faecium_UAA407",55,17,72
"Enterococcus_faecium_UAA430",54,18,72
"Enterococcus_faecium_UAA431",55,17,72
"Enterococcus_faecium_UAA714",53,17,70
"Enterococcus_faecium_UAA715",53,17,70
"Enterococcus_faecium_UAA716",54,17,71
"Enterococcus_faecium_UAA718",53,18,71
"Enterococcus_faecium_UAA719",55,16,71
"Enterococcus_faecium_UAA720",55,17,72
"Enterococcus_faecium_UAA721",53,17,70
"Enterococcus_faecium_UAA722",53,17,70
"Enterococcus_faecium_UAA723",54,18,72
"Enterococcus_faecium_UAA724",55,19,74
"Enterococcus_faecium_UAA725",54,17,71
"Enterococcus_faecium_UAA825",57,17,74
"Enterococcus_faecium_UAA909",54,18,72
"Enterococcus_faecium_UAA910",53,17,70
"Enterococcus_faecium_UAA911",56,17,73
"Enterococcus_faecium_UAA944",55,18,73
"Enterococcus_faecium_UAA945",55,18,73
"Enterococcus_faecium_UAA947",55,18,73
"Enterococcus_faecium_UAA949",55,18,73
"Enterococcus_faecium_UAA950",54,18,72
"Enterococcus_faecium_UAA951",56,17,73
"Enterococcus_faecium_UAA952",55,17,72
"Enterococcus_faecium_UC7251",55,18,73
"Enterococcus_faecium_VAN_219",53,18,71
"Enterococcus_faecium_VAN_222",53,18,71
"Enterococcus_faecium_VAN_327",55,19,74
"Enterococcus_faecium_VAN_332",54,19,73
"Enterococcus_faecium_VAN_335",54,19,73
"Enterococcus_faecium_VAN_342",56,18,74
"Enterococcus_faecium_VAN_345",54,18,72
"Enterococcus_faecium_VAN_476",52,19,71
"Enterococcus_faecium_VRE_108",56,25,81
"Enterococcus_faecium_VRE_110",53,17,70
"Enterococcus_faecium_VRE_13",54,18,72
"Enterococcus_faecium_VRE_84",56,25,81
"Escherichia_coli_042",59,40,99
"Escherichia_coli_07798",63,43,106
"Escherichia_coli_09BKT078844",59,38,97
"Escherichia_coli_0_1288",62,44,106
"Escherichia_coli_0_1304",62,43,105
"Escherichia_coli_101_1",57,37,94
"Escherichia_coli_10_0821",63,37,100
"Escherichia_coli_10_0833",62,38,100
"Escherichia_coli_10_0869",58,38,96
"Escherichia_coli_1357",61,27,88
"Escherichia_coli_174750",61,38,99
"Escherichia_coli_174900",61,38,99
"Escherichia_coli_178900",63,43,106
"Escherichia_coli_179100",58,38,96
"Escherichia_coli_179550",59,39,98
"Escherichia_coli_180050",63,41,104
"Escherichia_coli_180200",61,42,103
"Escherichia_coli_180600",62,38,100
"Escherichia_coli_1827_70",60,37,97
"Escherichia_coli_199900_1",60,38,98
"Escherichia_coli_1_2264",56,35,91
"Escherichia_coli_1_2741",58,37,95
"Escherichia_coli_201600_1",61,42,103
"Escherichia_coli_2362_75",58,38,96
"Escherichia_coli_2534_86",65,40,105
"Escherichia_coli_2719100",57,41,98
"Escherichia_coli_2720900",64,38,102
"Escherichia_coli_2722950",62,39,101
"Escherichia_coli_2726800",61,41,102
"Escherichia_coli_2726950",59,41,100
"Escherichia_coli_2729250",62,37,99
"Escherichia_coli_2730350",55,41,96
"Escherichia_coli_2730450",63,40,103
"Escherichia_coli_2731150",58,41,99
"Escherichia_coli_2733950",58,41,99
"Escherichia_coli_2735000",62,39,101
"Escherichia_coli_2741950",61,39,100
"Escherichia_coli_2747800",60,41,101
"Escherichia_coli_2749250",60,38,98
"Escherichia_coli_2756500",62,40,102
"Escherichia_coli_2762100",54,41,95
"Escherichia_coli_2770900",62,39,101
"Escherichia_coli_2780750",62,43,105
"Escherichia_coli_2785200",61,39,100
"Escherichia_coli_2788150",60,41,101
"Escherichia_coli_2845350",62,41,103
"Escherichia_coli_2845650",58,40,98
"Escherichia_coli_2846750",58,36,94
"Escherichia_coli_2848050",64,38,102
"Escherichia_coli_2850400",63,39,102
"Escherichia_coli_2850750",62,39,101
"Escherichia_coli_2851500",61,40,101
"Escherichia_coli_2853500",57,37,94
"Escherichia_coli_2854350",68,44,112
"Escherichia_coli_2860050",66,43,109
"Escherichia_coli_2860650",59,35,94
"Escherichia_coli_2861200",59,38,97
"Escherichia_coli_2862600",61,44,105
"Escherichia_coli_2864350",59,37,96
"Escherichia_coli_2865200",58,36,94
"Escherichia_coli_2866350",64,41,105
